AreaID|ManagedAreaName|Year|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
1|Alligator Harbor Aquatic Preserve|1998|11|Turbidity|All|All|36|2.5|12|5|5.67222222222222|2.57455806039584|5002
1|Alligator Harbor Aquatic Preserve|1998|12|Turbidity|All|All|108|1.3|19|4.85|5.21296296296296|2.64016753194684|5002
1|Alligator Harbor Aquatic Preserve|1999|1|Turbidity|All|All|18|1|2.7|1.45|1.57222222222222|0.395274373145236|5002
1|Alligator Harbor Aquatic Preserve|1999|2|Turbidity|All|All|71|1.2|7.5|2.9|3.19859154929577|1.42131658861438|5002
1|Alligator Harbor Aquatic Preserve|1999|3|Turbidity|All|All|72|1.2|6.3|3.1|3.21527777777778|1.29741451695092|5002
1|Alligator Harbor Aquatic Preserve|1999|4|Turbidity|All|All|108|1.6|14|4.95|5.96851851851852|3.45301299147281|5002
1|Alligator Harbor Aquatic Preserve|1999|5|Turbidity|All|All|54|2|13|5.4|5.42962962962963|2.32091634714099|5002
1|Alligator Harbor Aquatic Preserve|1999|6|Turbidity|All|All|90|1.9|12|6.55|6.24333333333333|2.70334998170705|5002
1|Alligator Harbor Aquatic Preserve|1999|7|Turbidity|All|All|72|2.3|14|6.7|6.625|2.57986515642816|5002
1|Alligator Harbor Aquatic Preserve|1999|8|Turbidity|All|All|71|2|20|8.6|8.14366197183099|3.73132425341254|5002
1|Alligator Harbor Aquatic Preserve|1999|9|Turbidity|All|All|89|1.9|18|8.7|8.99550561797753|3.9615168729449|5002
1|Alligator Harbor Aquatic Preserve|1999|10|Turbidity|All|All|54|2.1|19|5.9|7.50185185185185|4.0941048617674|5002
1|Alligator Harbor Aquatic Preserve|1999|11|Turbidity|All|All|36|0.75|5.1|2.1|2.54444444444444|1.40607141546823|5002
1|Alligator Harbor Aquatic Preserve|1999|12|Turbidity|All|All|18|0.85|3.8|1.55|1.70222222222222|0.744726997398104|5002
1|Alligator Harbor Aquatic Preserve|2000|1|Turbidity|All|All|18|0.56|2.8|2|1.95333333333333|0.642348631745941|5002
1|Alligator Harbor Aquatic Preserve|2000|2|Turbidity|All|All|54|0.71|16|1.8|3.88888888888889|3.87746059024857|5002
1|Alligator Harbor Aquatic Preserve|2000|3|Turbidity|All|All|18|1.7|7.6|3.25|3.63333333333333|1.74322216868986|5002
1|Alligator Harbor Aquatic Preserve|2000|4|Turbidity|All|All|36|2.8|33|6.95|10.9694444444444|9.27327402329464|5002
1|Alligator Harbor Aquatic Preserve|2000|5|Turbidity|All|All|36|2.6|25|5.95|9.34444444444444|7.27463084755879|5002
1|Alligator Harbor Aquatic Preserve|2000|6|Turbidity|All|All|18|2.1|13|6.9|6.6|3.41381277270134|5002
1|Alligator Harbor Aquatic Preserve|2000|7|Turbidity|All|All|36|4.1|24|8.4|10.5972222222222|5.68046708899949|5002
1|Alligator Harbor Aquatic Preserve|2000|8|Turbidity|All|All|15|4.5|29|14|13.7333333333333|6.38028958888977|5002
1|Alligator Harbor Aquatic Preserve|2000|9|Turbidity|All|All|16|3|24|6.6|8.71875|5.95429466855647|5002
1|Alligator Harbor Aquatic Preserve|2000|10|Turbidity|All|All|34|2|7.3|5|4.70294117647059|1.41281693555982|5002
1|Alligator Harbor Aquatic Preserve|2001|2|Turbidity|All|All|17|0.53|2.9|1.1|1.42882352941176|0.674044530733515|5002
1|Alligator Harbor Aquatic Preserve|2001|4|Turbidity|All|All|38|1.6|35|7.65|8.67631578947368|5.9703517126931|5002
1|Alligator Harbor Aquatic Preserve|2001|5|Turbidity|All|All|37|2|13|5.8|6.75405405405405|3.35373710248024|5002
1|Alligator Harbor Aquatic Preserve|2001|8|Turbidity|All|All|19|5.8|21|15|13.9894736842105|3.67603269494016|5002
1|Alligator Harbor Aquatic Preserve|2001|10|Turbidity|All|All|19|3.4|19|8.7|8.6578947368421|3.95984227933298|5002
1|Alligator Harbor Aquatic Preserve|2001|11|Turbidity|All|All|19|4.2|8.8|6.8|6.83526315789474|1.1550198094552|5002
1|Alligator Harbor Aquatic Preserve|2002|1|Turbidity|All|All|38|0.58|2.2|1.1|1.06421052631579|0.32758437393802|5002
1|Alligator Harbor Aquatic Preserve|2002|2|Turbidity|All|All|19|0.9|3|1.5|1.71052631578947|0.650550823740164|5002
